line,Trait,trait_value
338,T2.leg.length.f,330.5882941820521
350,T2.leg.length.f,325.7149130384691
352,T2.leg.length.f,322.52014348428094
356,T2.leg.length.f,325.95697716261816
357,T2.leg.length.f,325.2987089081342
358,T2.leg.length.f,323.3073202899069
359,T2.leg.length.f,329.20161804520967
362,T2.leg.length.f,324.7244400830633
365,T2.leg.length.f,323.86941645472376
367,T2.leg.length.f,328.7141022118535
371,T2.leg.length.f,331.34356438068994
373,T2.leg.length.f,334.93975927535496
375,T2.leg.length.f,330.66100479069644
377,T2.leg.length.f,328.29557973793044
379,T2.leg.length.f,325.92897808195164
380,T2.leg.length.f,321.18931989294845
383,T2.leg.length.f,329.4995110501609
386,T2.leg.length.f,325.4749844276143
391,T2.leg.length.f,328.2126716041388
392,T2.leg.length.f,329.29855519245933
399,T2.leg.length.f,326.31724008314995
405,T2.leg.length.f,326.12461902547875
406,T2.leg.length.f,324.8955569624282
409,T2.leg.length.f,327.89386112254033
41,T2.leg.length.f,327.2051480004945
42,T2.leg.length.f,326.6662503472387
427,T2.leg.length.f,331.40601900743684
437,T2.leg.length.f,323.0987788518792
439,T2.leg.length.f,329.0479206982638
440,T2.leg.length.f,331.0263600658435
45,T2.leg.length.f,327.8816963653622
49,T2.leg.length.f,332.56506865006315
492,T2.leg.length.f,332.56290253876614
513,T2.leg.length.f,322.2701506992446
517,T2.leg.length.f,328.2943458313699
535,T2.leg.length.f,327.8282782441984
555,T2.leg.length.f,325.8101644755863
57,T2.leg.length.f,321.910741310738
589,T2.leg.length.f,328.31567826281224
59,T2.leg.length.f,327.63249975966465
639,T2.leg.length.f,325.74553159269465
642,T2.leg.length.f,326.6547333047916
646,T2.leg.length.f,329.5378460517064
69,T2.leg.length.f,329.3695236706937
705,T2.leg.length.f,328.23248705429376
707,T2.leg.length.f,329.271383286454
712,T2.leg.length.f,323.35760313029454
714,T2.leg.length.f,325.55494385093124
73,T2.leg.length.f,328.30240856328015
730,T2.leg.length.f,331.8494210330575
732,T2.leg.length.f,326.3162287506692
737,T2.leg.length.f,324.06703840660913
75,T2.leg.length.f,329.9965294264386
757,T2.leg.length.f,327.0563394014762
765,T2.leg.length.f,327.28136723202306
774,T2.leg.length.f,324.4135021777965
783,T2.leg.length.f,324.7512681837221
786,T2.leg.length.f,324.6563927134494
787,T2.leg.length.f,326.2748141174391
796,T2.leg.length.f,331.47132329537214
799,T2.leg.length.f,326.2702313044585
801,T2.leg.length.f,331.84217106619224
802,T2.leg.length.f,332.5188453451819
805,T2.leg.length.f,330.8036274401927
808,T2.leg.length.f,328.290687078253
812,T2.leg.length.f,333.9236116973943
818,T2.leg.length.f,331.8372815790374
820,T2.leg.length.f,323.42459715868466
837,T2.leg.length.f,327.6154201235972
85,T2.leg.length.f,331.4785469332591
852,T2.leg.length.f,328.5806310942217
855,T2.leg.length.f,328.2452771237273
857,T2.leg.length.f,328.35946181517147
859,T2.leg.length.f,320.0279208264588
861,T2.leg.length.f,326.82831970608993
879,T2.leg.length.f,324.88792197820544
88,T2.leg.length.f,320.1366544259614
890,T2.leg.length.f,327.58904153975453
892,T2.leg.length.f,329.45055026438627
894,T2.leg.length.f,332.98025641262086
91,T2.leg.length.f,324.38470211214
93,T2.leg.length.f,335.6200900261229
101,T2.leg.length.m,323.23143866000044
105,T2.leg.length.m,321.4944767770438
109,T2.leg.length.m,318.5642106379622
129,T2.leg.length.m,319.63325111205586
136,T2.leg.length.m,331.6001909553726
138,T2.leg.length.m,322.24485660252736
142,T2.leg.length.m,329.2250975753593
149,T2.leg.length.m,318.3732991035311
153,T2.leg.length.m,331.9737504340547
158,T2.leg.length.m,325.83113857688505
161,T2.leg.length.m,324.30621585730336
176,T2.leg.length.m,317.45332702309446
177,T2.leg.length.m,320.2079383018318
181,T2.leg.length.m,319.16091015766926
195,T2.leg.length.m,327.151840274489
208,T2.leg.length.m,310.8027342508807
21,T2.leg.length.m,321.0179245707132
217,T2.leg.length.m,318.6652797246629
227,T2.leg.length.m,320.08876364671687
228,T2.leg.length.m,323.18744428844894
229,T2.leg.length.m,321.15162527067804
