Genotype,date,learning,observer,PreEA,PreC,PostEA,PostC,pre_tot,post_tot,learning.score
398/,9/13/13,S,DG,30,16,16,17,46,33,0.167325428
398/,9/17/13,S,AN,12,10,2,11,22,13,0.391608392
399/,10/30/12,L,NG,16,18,9,15,34,24,0.095588235
399/,6/14/13,L,AN,29,18,20,13,47,33,0.010960671
399/,6/20/13,L,SF,33,9,26,15,42,41,0.151567944
399/,8/2/12,S,LP,25,17,10,11,42,21,0.119047619
399/,11/1/12,S,NG,28,18,20,27,46,47,0.183163737
399/,6/14/13,S,AN,24,16,12,6,40,18,-0.066666667
40/,11/5/14,L,LH,17,16,12,5,33,17,-0.190730838
40/,11/18/14,L,LH,18,16,6,3,34,9,-0.137254902
40/,12/11/14,L,KS,23,15,11,12,38,23,0.127002288
40/,2/17/15,L,DG,17,15,13,15,32,28,0.066964286
40/,11/18/14,S,LH,18,17,15,19,35,34,0.073109244
40/,11/25/14,S,JG,30,15,12,4,45,16,-0.083333333
40/,12/11/14,S,KS,14,29,9,19,43,28,0.004152824
405/,11/8/13,L,KA,38,7,23,12,45,35,0.187301587
