Block,Day,Assay,Chamber,Line,Subject,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,SUM,no_move,move,orient_female,approach,wing,genital_lick,attempt_cop,copulate,sum_court,sum_copulate
3,31,3,9,310,3,1,5,7,5,5,7,5,5,5,6,5,3,3,5,5,5,5,5,5,5,5,5,4,5,6,5,6,6,5,5,149,1,0,2,1,20,4,2,0,26,2
1,13,4,6,313,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,31,29,1,0,0,0,0,0,0,0,0
1,3,1,9,313,2,2,2,5,2,2,2,2,2,2,2,2,6,2,5,2,5,3,4,2,2,2,2,5,2,3,5,4,1,2,2,84,1,19,2,2,5,1,0,0,6,0
1,5,3,8,313,3,2,2,2,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,5,2,1,2,2,2,2,1,2,49,14,15,0,0,1,0,0,0,1,0
1,9,1,8,313,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,240,0,0,0,0,0,0,0,30,30,30
4,48,3,2,317,10,5,1,2,3,1,1,1,1,1,1,1,2,5,3,6,5,5,2,5,5,5,1,1,1,1,1,1,2,2,5,76,14,5,2,0,8,1,0,0,9,0
3,30,4,1,318,3,1,2,5,5,2,3,1,1,7,1,1,2,2,2,2,1,5,5,6,5,6,3,5,5,2,5,4,5,2,1,97,7,8,2,1,9,2,1,0,12,1
3,33,4,9,318,6,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,28,2,0,0,0,0,0,0,0,0
3,36,2,3,321,7,2,7,1,5,3,2,5,1,1,1,2,2,2,1,1,2,1,2,2,1,2,2,2,1,1,2,2,1,2,2,61,11,15,1,0,2,0,1,0,3,1
3,38,3,9,321,8,6,6,2,4,2,2,2,2,2,5,2,2,5,2,2,6,2,6,5,2,5,2,5,1,2,2,2,2,2,2,92,1,19,0,1,5,4,0,0,9,0
3,31,1,10,321,4,5,5,2,5,5,4,5,4,5,5,5,5,5,5,5,2,5,5,5,5,2,5,5,5,5,6,5,2,5,5,137,0,4,0,2,23,1,0,0,24,0
