Trait,R_diff,sd,2.5%,97.5%,Trait_Sex
FBgn0039634,-0.037841,0.12814721303294047,-0.29003087499999997,0.21924500999999996,Female
FBgn0039635,0.019137500000000002,0.12813926745012655,-0.23557196249999998,0.26846662749999994,Female
FBgn0039636,-0.055510800000000006,0.1267704239343362,-0.30244300749999997,0.18960198,Female
FBgn0039637,0.0583115,0.1296685554747132,-0.202721765,0.3063718574999998,Female
FBgn0039638,0.095603,0.12421413999799684,-0.1464311025,0.3378756749999999,Female
FBgn0039639,0.023215599999999996,0.12696881100916568,-0.220784715,0.2757111,Female
FBgn0039640,-0.17940175,0.1260387275569818,-0.4224451925,0.06157617249999997,Female
FBgn0039641,0.0036003000000000007,0.12972589756612612,-0.25203497,0.26014903999999994,Female
FBgn0039642,0.013110999999999998,0.12717703084290424,-0.23927849999999998,0.25900496249999994,Female
FBgn0039644,-0.29227800000000004,0.12442980753567892,-0.530917075,-0.04152842000000016,Female
FBgn0039645,0.1228494,0.12625608457062285,-0.1265486475,0.3709317749999999,Female
FBgn0039647,0.17668975,0.12109495156363675,-0.06592901249999998,0.4088178749999999,Female
FBgn0039648,-0.029878599999999995,0.12637395909895047,-0.276748524,0.21908616,Female
FBgn0039650,-0.03444875,0.12833397348731576,-0.2839794975,0.2133847649999999,Female
FBgn0039651,0.017157335,0.12511935229502738,-0.22947915249999998,0.26087404999999997,Female
FBgn0039654,-0.168631255,0.12395321251626146,-0.40789341749999997,0.07601308499999994,Female
FBgn0039655,0.05600885000000001,0.12828789372673027,-0.186686005,0.31090076024999974,Female
FBgn0039656,0.003368299999999994,0.12837894056120086,-0.24812247499999998,0.2609543724999998,Female
FBgn0039659,-2.768499999999986e-4,0.1245174483181284,-0.24450271249999997,0.24383663749999993,Female
FBgn0039663,0.08736195,0.12362722925265415,-0.16144901,0.32603779249999987,Female
FBgn0039664,-0.0035117999999999955,0.12561187915460037,-0.25821431,0.2348038399999999,Female
FBgn0039665,0.0449091,0.12389937195105566,-0.19515294500000002,0.28828167499999985,Female
FBgn0039666,0.08793424999999999,0.12919555963096996,-0.1747357475,0.33351500999999995,Female
