Trait,R_overall,sd,2.5%,97.5%,Trait_Sex
FBgn0010786,0.027469982499999997,0.06248977679098314,-0.093645220625,0.14733243749999989,Female
FBgn0010803,0.01631194825,0.0652784317117108,-0.11098588375,0.14466963749999995,Female
FBgn0010808,-0.096902775,0.0638735349740076,-0.2197930625,0.02943526887499999,Female
FBgn0010812,-0.020463415000000002,0.06472652343958293,-0.14556478750000001,0.10771434624999998,Female
FBgn0010825,0.0692950125,0.06299067656662949,-0.05884396124999999,0.1902923875,Female
FBgn0010830,0.09284904999999999,0.0630008503176883,-0.030654601249999993,0.2160373749999999,Female
FBgn0010877,0.10939545,0.06189861212537924,-0.013608448375,0.22790922499999988,Female
FBgn0010894,0.07011385,0.0630343450751008,-0.053501453,0.19121973999999994,Female
FBgn0010905,-0.08800936000000001,0.06336770796241617,-0.210447525,0.03796627999999998,Female
FBgn0010909,-0.043058725,0.06319496061760949,-0.1655034175,0.08146820725,Female
FBgn0010926,-0.033651499999999994,0.06334521077903227,-0.15851583499999997,0.09090898749999995,Female
FBgn0011016,0.003506124999999997,0.06414511477908413,-0.11940270875,0.12924594125,Female
FBgn0011020,0.042386135000000005,0.06354070178943694,-0.08259278125,0.16893567499999992,Female
FBgn0011202,-0.06796411675,0.06239484949912892,-0.1892805125,0.05666793874999997,Female
FBgn0011204,-0.019041,0.062241548508001676,-0.14434205875000003,0.10265717375,Female
FBgn0011205,-0.0974337,0.06461381094302286,-0.2212602125,0.03151391499999999,Female
FBgn0011206,-0.063497925,0.0634541685999004,-0.18680331875,0.06123418374999996,Female
FBgn0011207,0.08391776,0.06471586868071634,-0.0464375325,0.20967841250000002,Female
FBgn0011211,0.0016513000000000014,0.06347464376077318,-0.12101745375,0.1259673425,Female
FBgn0011217,0.095625675,0.06129975059318964,-0.025683661250000003,0.21409731249999997,Female
FBgn0011224,0.02124308765,0.06235668775181807,-0.10081194249999999,0.14243698749999995,Female
FBgn0011225,-0.09938395,0.0658980244191305,-0.2276407125,0.03040813862499998,Female
FBgn0011227,-0.0581765075,0.06155851371623416,-0.17554525,0.06344930124999999,Female
FBgn0011230,0.014807075000000001,0.06510000681510067,-0.11257977999999999,0.142764925,Female
FBgn0011232,0.050727102499999996,0.06264602925719953,-0.07373882999999999,0.17230352999999998,Female
FBgn0011236,0.09805269999999999,0.06310815665740029,-0.027634987124999993,0.21778197374999997,Female
FBgn0011239,-0.057549224999999996,0.0627475598364996,-0.17926954125,0.06699020499999987,Female
FBgn0011244,-0.1116243,0.06286894045595515,-0.23172556249999998,0.012518537499999953,Female
FBgn0011259,-0.039887575,0.06452421300391176,-0.16329392499999998,0.08980042874999994,Female
FBgn0011260,0.08543714499999999,0.0628945664642074,-0.03976887624999999,0.205476675,Female
FBgn0011270,0.15139275,0.06309241431635683,0.024251312500000004,0.26958709999999997,Female
FBgn0011272,-0.079678175,0.06189743695212579,-0.19878899875000003,0.043263263749999975,Female
FBgn0011274,-0.047896877500000004,0.0634180584662028,-0.1711973275,0.07585376249999998,Female
FBgn0011276,-0.059439399999999996,0.06336929972820887,-0.18497097875,0.06341012637499999,Female
FBgn0011277,0.054582825,0.06372359962356686,-0.07394767625000001,0.1768387124999999,Female
FBgn0011278,-0.066133625,0.06120598581215574,-0.18866220250000001,0.05302477874999994,Female
FBgn0011279,-0.009104000000000001,0.06184793701522249,-0.1306045285,0.11305480662499984,Female
FBgn0011280,0.013268037500000007,0.06333447804931878,-0.10907983249999999,0.13521255625,Female
FBgn0011281,-0.017385925,0.06472361097396281,-0.14405148375000001,0.11062275374999993,Female
FBgn0011283,-0.089182025,0.06234281051643209,-0.20976345,0.030259517624999982,Female
FBgn0011284,-0.1090173,0.06281426900517278,-0.2295342125,0.017695986,Female
FBgn0011286,-0.088360905,0.06461014717903447,-0.2132904,0.04195598749999994,Female
FBgn0011288,-0.0715787,0.06185906208292575,-0.19034667625,0.05024598249999998,Female
FBgn0011289,-0.013317899999999999,0.064148584714384,-0.13576506,0.11399081824999983,Female
FBgn0011290,0.061231999999999995,0.061636440368054775,-0.05829352375,0.18441490624999984,Female
FBgn0011291,-0.11636460000000001,0.06310276025796284,-0.23784358,0.009399554999999983,Female
FBgn0011293,0.054388625,0.06275168589708786,-0.07064312,0.1732971075,Female
FBgn0011294,-0.08377024999999999,0.06248132244898773,-0.2030160565,0.04030382374999999,Female
FBgn0011296,-0.15554385,0.06199232522730623,-0.27351155000000005,-0.03216077625,Female
FBgn0011297,0.06776155,0.06182902218986099,-0.05394261375000001,0.18920394499999993,Female
FBgn0011300,-0.04930685,0.06209549126077826,-0.17315414625,0.0714970625,Female
FBgn0011305,-0.029795375,0.061837885863033425,-0.150932525,0.08947383749999997,Female
FBgn0011327,-0.045810925,0.06390413022467603,-0.171849565,0.08081961374999999,Female
FBgn0011335,-0.009919949499999999,0.06265095743351448,-0.13301540750000002,0.11324609499999998,Female
FBgn0011336,-0.02874536,0.061363654330961206,-0.1470677,0.09246860349999991,Female
FBgn0011361,-0.167131175,0.060225698664823635,-0.2829490375,-0.047283333749999996,Female
FBgn0011455,-0.036440525,0.06388093520137159,-0.16042355000000003,0.09114232374999982,Female
FBgn0011474,0.131094925,0.06258600869283983,0.006065455,0.24994204999999994,Female
FBgn0011476,-0.06491949999999999,0.06251617967613003,-0.18433403375,0.059115208749999995,Female
FBgn0011481,0.035799700000000004,0.06348478174086883,-0.089823494375,0.15838661499999995,Female
FBgn0011509,0.064721875,0.06445359141647938,-0.06124721762499999,0.19104630374999998,Female
FBgn0011554,-0.04801395,0.06365466063001822,-0.17236948500000002,0.07845396999999996,Female
FBgn0011555,0.015472750000000004,0.06264018909733136,-0.10746528624999999,0.13853657937499997,Female
FBgn0011556,0.033678440000000004,0.06212817492446427,-0.08926239649999998,0.15199917500000001,Female
FBgn0011559,-0.07527497500000001,0.06368744449242861,-0.1992927725,0.05016749999999994,Female
FBgn0011566,0.031423999999999994,0.06330860700139458,-0.094301495,0.153709825,Female
FBgn0011569,-0.012564311,0.06526897471308447,-0.1387587,0.11654024874999996,Female
FBgn0011570,0.0306114,0.0639269580564621,-0.09325963624999999,0.15689551375,Female
FBgn0011573,-0.04347185,0.0631822822651427,-0.16713890125,0.08059687374999996,Female
FBgn0011576,-0.03904345000000001,0.06202808623515326,-0.1626068725,0.08209122125,Female
FBgn0011581,-0.11585295,0.06367873508342027,-0.2380906875,0.01268628999999997,Female
FBgn0011582,0.110906475,0.060648257505681084,-0.008927129999999997,0.22842759374999994,Female
FBgn0011584,-0.09696036,0.06524576409730129,-0.21995055,0.033659992499999944,Female
