DGRP_lines,Experiment,Sample.size,Delta_Death.at.48h,Delta_Alive.at.48h
line_405,Exp 4,18,16,2
line_399,Exp 4,16,16,0
line_397,Exp 4,40,40,0
line_395,Exp 4,20,18,2
line_392,Exp 4,19,19,0
line_391,Exp 4,35,35,0
line_390,Exp 4,20,0,20
line_386,Exp 4,41,29,12
line_385,Exp 4,20,20,0
line_383,Exp 4,20,20,0
line_382,Exp 4,20,13,7
line_381,Exp 4,18,18,0
line_380,Exp 4,19,18,1
line_379,Exp 4,35,16,19
line_377,Exp 4,20,20,0
line_375,Exp 4,,,
line_374,Exp 4,20,20,0
line_373,Exp 4,19,1,18
line_371,Exp 4,39,33,6
line_370,Exp 4,17,17,0
line_367,Exp 4,14,14,0
line_365,Exp 4,21,15,6
line_362,Exp 4,20,18,2
line_361,Exp 4,20,20,0
line_360,Exp 4,13,12,1
line_359,Exp 4,17,17,0
line_358,Exp 4,20,18,2
line_357,Exp 4,20,20,0
line_356,Exp 4,20,20,0
line_355,Exp 4,14,14,0
line_354,Exp 4,21,20,1
line_352,Exp 4,20,18,2
line_350,Exp 4,19,2,17
line_348,Exp 4,20,20,0
line_340,Exp 4,18,18,0
line_338,Exp 4,18,18,0
line_336,Exp 4,17,17,0
line_335,Exp 4,14,13,1
line_332,Exp 4,37,31,6
line_324,Exp 4,20,20,0
line_321,Exp 4,40,36,4
line_320,Exp 4,19,5,14
line_319,Exp 4,18,18,0
line_318,Exp 4,18,18,0
line_317,Exp 4,20,11,9
line_315,Exp 4,20,20,0
line_313,Exp 4,,,
line_310,Exp 4,8,8,0
line_309,Exp 4,20,20,0
line_307,Exp 4,16,16,0
line_306,Exp 4,18,0,18
line_304,Exp 4,27,27,0
line_303,Exp 4,18,18,0
line_301,Exp 4,21,20,1
line_287,Exp 4,17,17,0
line_280,Exp 4,18,18,0
line_256,Exp 4,19,19,0
line_239,Exp 4,20,20,0
line_237,Exp 4,20,20,0
line_235,Exp 4,20,18,2
line_233,Exp 4,18,18,0
line_229,Exp 4,19,19,0
line_228,Exp 4,18,15,3
line_227,Exp 4,20,19,1
line_223,Exp 4,26,24,2
line_217,Exp 4,20,20,0
line_208,Exp 4,37,23,14
line_195,Exp 4,19,19,0
line_189,Exp 4,19,13,6
line_181,Exp 4,18,18,0
line_177,Exp 4,11,11,0
line_176,Exp 4,37,37,0
line_161,Exp 4,26,26,0
line_158,Exp 4,20,10,10
line_153,Exp 4,20,19,1
line_149,Exp 4,14,13,1
line_142,Exp 4,19,19,0
line_138,Exp 4,10,4,6
line_136,Exp 4,17,14,3
line_129,Exp 4,20,20,0
line_109,Exp 4,31,25,6
line_105,Exp 4,20,20,0
line_101,Exp 4,19,19,0
line_100,Exp 4,19,18,1
line_93,Exp 4,19,19,0
line_91,Exp 4,20,20,0
line_88,Exp 4,18,18,0
